id,tipo,valorVenda,bairro,cidade,estado,quartos,suites,vagas,banheiros,areaConstruida,endereco_completo,url,Latitude,Longitude
165121439,Casa,640000.0,Tapera da Base,Florianópolis,SC,3,1,0,2,405.0,"Rodovia Açoriana, 2998, Tapera da Base, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+3-quartos+tapera-da-base+florianopolis+sc+405m2+rs640000/165121439,-27.6967726,-48.5519656
165121490,Apartamento,990000.0,Ingleses Do Rio Vermelho,Florianópolis,SC,3,1,1,2,74.99,"Rua Morro das Feiticeiras, 333, Ingleses Do Rio Vermelho, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+3-quartos+ingleses-do-rio-vermelho+florianopolis+sc+74,99m2+rs990000/165121490",-27.4206809,-48.4041829
165123069,Terreno,700000.0,Saco Dos Limões,Florianópolis,SC,0,0,0,0,5410.39,"Rua Custódio Fermino Vieira, 1, Saco Dos Limões, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+saco-dos-limoes+florianopolis+sc+5410,39m2+rs700000/165123069",-27.5987894,-48.5354237
165123692,Terreno,1100000.0,Trindade,Florianópolis,SC,0,0,0,0,364.0,"Rua João Marçal, 144, Trindade, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+terreno+--quartos+trindade+florianopolis+sc+364m2+rs1100000/165123692,-27.593752,-48.5236817
165125628,Apartamento,640000.0,Côrrego Grande,Florianópolis,SC,2,0,1,1,75.09,"Rua João Pio Duarte Silva, 576, Côrrego Grande, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+2-quartos+corrego-grande+florianopolis+sc+75,09m2+rs640000/165125628",-27.6004558,-48.499323
165126067,Casa,650000.0,Agronômica,Florianópolis,SC,2,0,4,2,76.0,"Epaminondas Vicente de Carvalho, 45, Agronômica, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+2-quartos+agronomica+florianopolis+sc+76m2+rs650000/165126067,Erro,Erro
165126663,Casa,520000.0,São João do Rio Vermelho,Florianópolis,SC,2,2,2,3,92.18,"Manoel Machado Aguiar, 222, São João do Rio Vermelho, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+casa+2-quartos+sao-joao-do-rio-vermelho+florianopolis+sc+92,18m2+rs520000/165126663",Erro,Erro
165126678,Cobertura,3990000.0,Campeche,Florianópolis,SC,2,2,3,3,206.33,"Avenida Campeche, 1900, Campeche, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+cobertura+2-quartos+campeche+florianopolis+sc+206,33m2+rs3990000/165126678",-27.6847716,-48.4821658
165126806,Apartamento,2060000.0,Beira Mar,Florianópolis,SC,3,1,2,4,173.94,"Rua Frei Caneca, 320, Beira Mar, Florianópolis, SC","https://www.gralhaimoveis.com.br/imovel/venda+apartamento+3-quartos+beira-mar+florianopolis+sc+173,94m2+rs2060000/165126806",Erro,Erro
165126918,Casa,2500000.0,Itaguaçu,Florianópolis,SC,4,4,2,7,194.0,"Rua José Lins do Rêgo, 198, Itaguaçu, Florianópolis, SC",https://www.gralhaimoveis.com.br/imovel/venda+casa+4-quartos+itaguacu+florianopolis+sc+194m2+rs2500000/165126918,-27.613415,-48.5933751
